search
Azure OpenAI 
Azure OpenAI Service
Azure OpenAI service
Azure OpenAI services
Azure OpenAI Services
Azure AI Projects client library
Azure AI projects client library
Azure Project client library
Azure project client library
AI services subscription
AI Services subscription
AI service subscription
AI Service subscription
AI services resource
AI Services resource
AI service resource
AI Service resource
an AI service 
are a suite of AI services
**AI Service fine-tuning**
**AI services** tab
**the AI Service fine-tuning** tab
GAI Services
Applied AI Services
machine-learning based AI service 
Microsoft Generative AI Services
Product Terms for Responsible Use of Microsoft AI Services
generative AI service
Azure AI Services endpoint
Azure AI Foundry is now Microsoft Foundry
